"playerID","SUM(B.G)","SUM(B.AB)","SUM(B.R)","Sum(B.H)","Sum(B.2B)","Sum(B.3B)","Sum(B.HR)","Sum(B.SB)","Sum(B.CS)","Sum(B.BB)","Sum(B.SO)","Sum(B.IBB)","Sum(B.HBP)","Sum(B.SH)","Sum(B.SF)","Sum(B.GIDP)","Sum(P.W)","Sum(P.L)","Sum(P.SHO)","Sum(P.SV)","Sum(P.ER)","Sum(P.BB)","Sum(P.SO)","AVG(P.BAOpp)","AVG(P.ERA)","Sum(P.HBP)","Sum(P.BFP)","Sum(P.GF)","Sum(P.SH)","Sum(P.SF)","Sum(P.GIDP)","Sum(A.gameNum)","classification"
"truckvi01",19646,36062,2394,6498,874,38,76,38,38,342,5814,0,76,1748,114,1178,6726,5130,1254,1140,38342,41344,58292,0.24842105263157838,3.6099999829342493,1786,432364,4294,0,0,0,0,"Nominated"
"kindeel01",6292,5772,442,819,91,13,13,0,13,299,1599,0,0,377,0,130,1326,923,130,1326,7332,7007,9737,0.22615384615384623,2.988461503615746,117,81978,3315,0,0,0,NULL,"Nominated"
"houttar01",4620,7182,518,1386,168,14,28,28,14,196,1078,0,0,532,14,210,1218,1274,196,280,10010,7224,8946,0.30071428571428604,5.850714223725455,560,93982,1274,0,0,0,0,"Nominated"
"westrwe01",1838,4644,604,1006,118,16,192,20,10,978,1028,18,38,22,16,120,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"gromest01",8460,11340,1044,2232,162,36,0,36,0,1278,2628,0,18,720,0,234,2214,1944,306,414,14076,11340,16272,0.2549999999999999,3.9550000031789145,1224,156168,1980,0,0,0,0,"Nominated"
"kuzavbo01",3210,3840,315,330,15,0,15,0,0,435,1440,0,15,180,0,75,735,660,105,195,5820,6225,6690,0.2713333333333331,4.5893332958221436,120,56220,870,0,0,0,NULL,"Nominated"
"miksied01",1042,3053,383,722,95,17,44,52,22,215,313,6,6,62,2,74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"northro01",1084,3172,385,874,172,28,108,7,0,361,297,4,15,14,5,57,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"smallro01",872,2644,277,601,103,33,61,4,0,257,541,6,18,26,3,66,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Nominated"
"troutdi01",17120,30752,3168,6560,896,224,640,224,64,1888,7232,0,32,832,0,576,5440,5152,896,1120,31328,33472,40192,0.2906250000000002,8.399999991059303,1088,371680,4288,0,0,0,0,"Nominated"
"galvipu01",12427,46716,4726,9384,1479,527,85,391,0,646,10727,0,34,0,0,0,6188,5270,969,34,32470,12665,30702,0.7852941176470594,3.001764746273265,969,428978,289,0,0,0,NULL,"Elected"
"willite01",43548,146414,34162,50426,9975,1349,9899,456,323,38399,13471,1634,741,95,380,3743,0,0,0,0,361,0,361,0.3299999999999985,4.5,0,3249,361,0,0,0,114,"Elected"
"slaugen01",380800,1271360,199520,381280,66080,23680,27040,11360,2400,162880,86080,1760,5920,11680,1600,22240,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"vernomi01",269808,977872,133952,279440,54880,13440,19264,15344,10080,106960,97328,2464,5488,8960,2128,20496,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"darkal01",87744,346512,51072,100272,17184,3456,6048,2832,1296,20640,25632,960,2592,4560,1488,6432,0,0,0,0,1632,816,0,0.25,18,0,4080,0,0,0,0,0,"Nominated"
"thomsbo01",80055,283725,40635,76725,12015,3330,11880,1710,900,25155,36180,1035,1530,1620,1035,7155,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
"dobyla01",42924,149744,26880,42420,6804,1456,7084,1316,1008,24388,28308,532,1064,560,700,2716,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,0,"Nominated"
